,Month,Annualreturn,ProfitLoss,Percentage
0,1,43700,-6300,-12.6
1,2,45700,-4300,-8.6
2,3,48700,-1300,-2.6
3,4,51700,1700,3.4000000000000004
4,5,43700,-6300,-12.6
5,6,45700,-4300,-8.6
6,7,46700,-3300,-6.6000000000000005
7,8,47700,-2300,-4.6
8,9,43700,-6300,-12.6
9,10,45700,-4300,-8.6
10,11,48700,-1300,-2.6
11,12,51700,1700,3.4000000000000004
12,13,43700,-6300,-12.6
13,14,45700,-4300,-8.6
14,15,46700,-3300,-6.6000000000000005
15,16,46700,-3300,-6.6000000000000005
16,17,44700,-5300,-10.6
17,18,45700,-4300,-8.6
18,19,48700,-1300,-2.6
19,20,48700,-1300,-2.6
20,21,47700,-2300,-4.6
21,22,49700,-300,-0.6
22,23,50700,700,1.4000000000000001
23,24,51700,1700,3.4000000000000004
24,25,53700,3700,7.3999999999999995
